"id","temp","humidity","c_on"
"1","26","72.8","2019-01-26 12:20:22.022565"
"2","26","72.9","2019-01-26 12:20:22.760457"
"3","26","73","2019-01-26 12:20:25.612720"
"4","26","73.1","2019-01-26 12:20:30.536489"
"5","26","72.9","2019-01-26 12:20:33.811760"
"6","26","73.3","2019-01-26 12:20:34.526058"
"7","26","73.1","2019-01-26 12:20:37.800472"
"8","26","73","2019-01-26 12:20:41.190301"
"9","26","72.9","2019-01-26 12:20:46.515123"
"10","26","72.8","2019-01-26 12:20:54.401111"
"11","26","72.9","2019-01-26 12:20:55.134584"
"12","26","72.8","2019-01-26 12:20:55.840768"
"13","26","72.9","2019-01-26 12:21:01.618841"
"14","26","72.8","2019-01-26 12:21:36.202120"
"15","26","72.7","2019-01-26 12:21:39.587319"
"16","26","72.6","2019-01-26 12:21:43.945979"
"17","26","72.7","2019-01-26 12:21:45.072031"
"18","26","72.8","2019-01-26 12:21:50.028194"
"19","26","72.9","2019-01-26 12:21:56.880650"
"20","26","72.8","2019-01-26 12:21:58.121015"
"21","26","72.9","2019-01-26 12:21:58.847427"
"22","26","73","2019-01-26 12:22:11.361651"
"23","26","72.9","2019-01-26 12:22:12.667153"
"24","26","73","2019-01-26 12:22:16.949206"
"25","26","72.8","2019-01-26 12:22:24.815519"
"26","26","72.9","2019-01-26 12:22:26.286338"
"27","26","72.8","2019-01-26 12:22:29.256742"
"28","26","72.6","2019-01-26 12:22:36.197197"
"29","26","72.7","2019-01-26 12:22:38.413157"
"30","26","72.6","2019-01-26 12:22:39.124657"
"31","26","72.5","2019-01-26 12:22:42.480984"
"32","26","72.7","2019-01-26 12:22:47.784908"
"33","26","72.6","2019-01-26 12:22:48.719001"
"34","26","72.5","2019-01-26 12:22:55.880202"
"35","26","72.6","2019-01-26 12:22:56.830002"
"36","26","72.5","2019-01-26 12:22:57.855563"
"37","26","72.4","2019-01-26 12:23:01.936406"
"38","26","72.5","2019-01-26 12:23:09.923021"
"39","26","72.4","2019-01-26 12:23:14.761030"
"40","26","72.5","2019-01-26 12:23:18.506620"
"41","26","72.4","2019-01-26 12:23:29.411303"
"42","26","72.5","2019-01-26 12:23:40.847030"
"43","26","72.4","2019-01-26 12:23:54.207996"
"44","26.9","77.4","2019-01-26 13:07:43.655057"
"45","26.9","78.3","2019-01-26 13:07:44.371122"
"46","26.8","78.2","2019-01-26 13:07:45.048335"
"47","26.8","78.1","2019-01-26 13:07:45.731056"
"48","26.9","78.1","2019-01-26 13:07:46.422866"
"49","26.8","78","2019-01-26 13:07:47.141549"
"50","26.8","77.9","2019-01-26 13:07:47.857565"
"51","26.8","77.8","2019-01-26 13:07:48.577064"
"52","26.8","77.7","2019-01-26 13:07:49.286830"
"53","26.8","77.6","2019-01-26 13:07:49.965113"
"54","26.8","77.7","2019-01-26 13:07:50.638478"
"55","26.9","77.7","2019-01-26 13:07:51.319688"
"56","26.8","77.4","2019-01-26 13:07:52.035164"
"57","26.6","76","2019-01-26 13:23:52.164821"
"58","26.6","76.1","2019-01-26 13:23:54.083218"
"59","26.6","76","2019-01-26 13:23:54.846858"
"60","26.6","75.9","2019-01-26 13:23:57.282927"
"61","26.6","75.8","2019-01-26 13:24:01.106563"
"62","26.6","76","2019-01-26 13:24:01.831018"
"63","26.6","75.9","2019-01-26 13:24:02.654207"
"64","26.5","75.8","2019-01-26 13:24:06.399690"
"65","26.6","75.9","2019-01-26 13:24:07.482084"
"66","26.6","75.8","2019-01-26 13:24:09.464788"
"67","26.6","75.7","2019-01-26 13:24:15.835847"
"68","26.6","75.6","2019-01-26 13:24:18.192246"
"69","26.5","75.5","2019-01-26 13:24:22.494808"
"70","26.6","75.6","2019-01-26 13:24:23.207870"
"71","26.5","75.5","2019-01-26 13:24:26.484217"
"72","26.6","75.7","2019-01-26 13:24:27.198104"
"73","26.5","75.5","2019-01-26 13:24:27.923585"
"74","26.5","75.6","2019-01-26 13:24:32.356667"
"75","26.6","75.7","2019-01-26 13:24:33.563998"
"76","26.5","75.6","2019-01-26 13:24:34.291434"
"77","26.6","75.7","2019-01-26 13:24:39.692675"
"78","26.5","75.5","2019-01-26 13:24:42.969481"
"79","26.6","75.7","2019-01-26 13:24:43.658885"
"80","26.6","75.6","2019-01-26 13:24:44.401347"
"81","26.5","75.6","2019-01-26 13:24:45.118191"
"82","26.5","75.5","2019-01-26 13:24:45.840835"
"83","26.5","75.6","2019-01-26 13:24:46.543315"
"84","26.6","75.7","2019-01-26 13:24:47.574556"
"85","26.6","75.8","2019-01-26 13:24:48.291916"
"86","26.5","75.6","2019-01-26 13:24:48.988324"
"87","26.5","75.7","2019-01-26 13:24:53.917014"
"88","26.5","75.8","2019-01-26 13:24:59.941917"
"89","26.5","75.9","2019-01-26 13:25:04.249201"
"90","26.5","75.8","2019-01-26 13:25:05.483536"
"91","26.5","75.7","2019-01-26 13:25:08.253632"
"92","26.5","75.8","2019-01-26 13:25:14.094696"
"93","26.5","76","2019-01-26 13:25:26.484553"
"94","26.5","76.1","2019-01-26 13:25:27.198848"
"95","26.5","76","2019-01-26 13:25:28.432072"
"96","26.5","75.9","2019-01-26 13:25:35.393742"
"97","26.5","76","2019-01-26 13:25:44.304229"
"98","26.5","76.3","2019-01-26 13:25:45.021371"
"99","26.5","76.2","2019-01-26 13:25:49.608101"
"100","26.5","76","2019-01-26 13:25:53.623499"
"101","26.5","76.1","2019-01-26 13:25:54.315398"
"102","26.5","76.2","2019-01-26 13:25:57.618255"
"103","26.5","76.3","2019-01-26 13:25:58.337673"
"104","26.5","76.2","2019-01-26 13:26:00.057102"
"105","26.5","76.1","2019-01-26 13:26:04.887990"
"106","26.5","76","2019-01-26 13:26:05.597689"
"107","26.5","75.9","2019-01-26 13:26:17.158943"
"108","26.5","75.8","2019-01-26 13:26:22.602290"
"109","26.5","75.9","2019-01-26 13:26:23.821136"
"110","26.5","75.8","2019-01-26 13:26:26.902742"
"111","26.5","75.9","2019-01-26 13:26:28.659586"
"112","26.4","75.8","2019-01-26 13:26:29.356633"
"113","26.5","75.8","2019-01-26 13:26:30.062654"
"114","26.4","75.6","2019-01-26 13:26:36.000334"
"115","26.5","75.7","2019-01-26 13:26:36.939250"
"116","26.5","75.6","2019-01-26 13:26:37.648088"
"117","26.5","75.5","2019-01-26 13:26:43.539236"
"118","26.5","75.6","2019-01-26 13:26:44.729304"
"119","26.5","75.5","2019-01-26 13:26:45.430587"
"120","26.5","75.6","2019-01-26 13:26:59.044004"
"121","26.5","75.7","2019-01-26 13:27:01.309233"
"122","26.5","75.6","2019-01-26 13:27:02.987978"
"123","26.5","75.5","2019-01-26 13:27:06.233353"
"124","26.5","75.7","2019-01-26 13:27:09.501775"
"125","26.4","75.5","2019-01-26 13:27:15.659623"
"126","26.4","75.6","2019-01-26 13:27:16.469795"
"127","26.5","75.8","2019-01-26 13:27:20.207532"
"128","26.4","75.7","2019-01-26 13:27:20.871917"
"129","26.4","75.8","2019-01-26 13:27:21.597147"
"130","26.4","76.3","2019-01-26 13:27:22.301975"
"131","26.4","76.4","2019-01-26 13:27:23.531442"
"132","26.5","76.5","2019-01-26 13:27:27.322632"
"133","26.4","76.4","2019-01-26 13:27:28.038434"
"134","26.5","76.4","2019-01-26 13:27:29.266008"
"135","26.4","76.4","2019-01-26 13:27:29.982750"
"136","26.5","76.4","2019-01-26 13:27:39.389800"
"137","26.4","76.2","2019-01-26 13:27:40.118069"
"138","26.5","76.4","2019-01-26 13:27:41.438619"
"139","26.4","76.2","2019-01-26 13:27:42.167589"
"140","26.4","76.1","2019-01-26 13:27:42.891800"
"141","26.5","76.2","2019-01-26 13:27:47.189132"
"142","26.4","76.1","2019-01-26 13:27:47.904840"
"143","26.5","76.2","2019-01-26 13:27:49.130296"
"144","26.4","76.5","2019-01-26 13:27:49.848239"
"145","26.5","76.7","2019-01-26 13:27:50.565492"
"146","26.4","76.7","2019-01-26 13:27:51.318542"
"147","26.5","77","2019-01-26 13:27:51.992770"
"148","26.5","77.1","2019-01-26 13:27:52.713115"
"149","26.4","77.1","2019-01-26 13:27:53.435751"
"150","26.5","77.2","2019-01-26 13:27:54.664515"
"151","26.5","77.3","2019-01-26 13:27:55.379519"
"152","26.5","77.2","2019-01-26 13:27:56.091947"
"153","26.5","77.1","2019-01-26 13:27:56.812425"
"154","26.5","77","2019-01-26 13:27:57.529959"
"155","26.5","76.9","2019-01-26 13:27:58.247458"
"156","26.5","76.8","2019-01-26 13:27:58.962621"
"157","26.4","76.7","2019-01-26 13:28:02.752479"
"158","26.5","76.5","2019-01-26 13:28:04.388069"
"159","26.5","76.4","2019-01-26 13:28:07.663655"
"160","26.5","76.3","2019-01-26 13:28:12.069677"
"161","26.5","76.2","2019-01-26 13:28:13.305395"
"162","26.5","76","2019-01-26 13:28:17.088778"
"163","26.6","76.1","2019-01-26 13:28:17.787709"
"164","26.5","75.9","2019-01-26 13:28:18.470570"
"165","26.6","75.9","2019-01-26 13:28:28.353596"
"166","26.5","76.1","2019-01-26 13:28:29.072190"
"167","26.5","76.2","2019-01-26 13:28:29.785392"
"168","26.5","76","2019-01-26 13:28:30.507433"
"169","26.6","76.1","2019-01-26 13:28:33.782053"
"170","26.6","76","2019-01-26 13:28:35.038204"
"171","26.6","75.9","2019-01-26 13:28:39.308035"
"172","26.5","75.8","2019-01-26 13:28:40.027472"
"173","26.6","75.9","2019-01-26 13:28:40.745510"
"174","26.6","75.8","2019-01-26 13:28:41.457793"
"175","26.6","75.9","2019-01-26 13:28:50.366982"
"176","26.6","75.8","2019-01-26 13:28:51.085330"
"177","26.6","75.7","2019-01-26 13:28:52.823026"
"178","26.6","75.6","2019-01-26 13:28:56.100337"
